VCD info: dumpfile iverilog.vcd opened for output.
VCD warning: $dumpvars: Unsupported argument type (vpiPackage)

  ______          __  __                    __                 __    __         
 /_  __/__  _____/ /_/ /_  ___  ____  _____/ /_     ____ _____/ /___/ /__  _____
  / / / _ \/ ___/ __/ __ \/ _ \/ __ \/ ___/ __ \   / __ `/ __  / __  / _ \/ ___/
 / / /  __(__  ) /_/ /_/ /  __/ / / / /__/ / / /  / /_/ / /_/ / /_/ /  __/ /    
/_/  \___/____/\__/_.___/\___/_/ /_/\___/_/ /_/   \__,_/\__,_/\__,_/\___/_/     

Begin Test:

  a_i = 1010, b_i = 1010
  a_i = 1010, b_i = 1011
  a_i = 1010, b_i = 1100
  a_i = 1010, b_i = 1101
  a_i = 1010, b_i = 1110
  a_i = 1010, b_i = 1111
  a_i = 1011, b_i = 0000
  a_i = 1011, b_i = 0001
  a_i = 1011, b_i = 0010
  a_i = 1011, b_i = 0011
  a_i = 1011, b_i = 0100
  a_i = 1011, b_i = 0101
  a_i = 1011, b_i = 0110
  a_i = 1011, b_i = 0111
  a_i = 1011, b_i = 1000
  a_i = 1011, b_i = 1001
  a_i = 1011, b_i = 1010
  a_i = 1011, b_i = 1011
  a_i = 1011, b_i = 1100
  a_i = 1011, b_i = 1101
  a_i = 1011, b_i = 1110
  a_i = 1011, b_i = 1111
  a_i = 1100, b_i = 0000
  a_i = 1100, b_i = 0001
  a_i = 1100, b_i = 0010
  a_i = 1100, b_i = 0011
  a_i = 1100, b_i = 0100
  a_i = 1100, b_i = 0101
  a_i = 1100, b_i = 0110
  a_i = 1100, b_i = 0111
  a_i = 1100, b_i = 1000
  a_i = 1100, b_i = 1001
  a_i = 1100, b_i = 1010
  a_i = 1100, b_i = 1011
  a_i = 1100, b_i = 1100
  a_i = 1100, b_i = 1101
  a_i = 1100, b_i = 1110
  a_i = 1100, b_i = 1111
  a_i = 1101, b_i = 0000
  a_i = 1101, b_i = 0001
  a_i = 1101, b_i = 0010
  a_i = 1101, b_i = 0011
  a_i = 1101, b_i = 0100
  a_i = 1101, b_i = 0101
  a_i = 1101, b_i = 0110
  a_i = 1101, b_i = 0111
  a_i = 1101, b_i = 1000
  a_i = 1101, b_i = 1001
  a_i = 1101, b_i = 1010
  a_i = 1101, b_i = 1011
  a_i = 1101, b_i = 1100
  a_i = 1101, b_i = 1101
  a_i = 1101, b_i = 1110
  a_i = 1101, b_i = 1111
  a_i = 1110, b_i = 0000
  a_i = 1110, b_i = 0001
  a_i = 1110, b_i = 0010
  a_i = 1110, b_i = 0011
  a_i = 1110, b_i = 0100
  a_i = 1110, b_i = 0101
  a_i = 1110, b_i = 0110
  a_i = 1110, b_i = 0111
  a_i = 1110, b_i = 1000
  a_i = 1110, b_i = 1001
  a_i = 1110, b_i = 1010
  a_i = 1110, b_i = 1011
  a_i = 1110, b_i = 1100
  a_i = 1110, b_i = 1101
  a_i = 1110, b_i = 1110
  a_i = 1110, b_i = 1111
  a_i = 1111, b_i = 0000
  a_i = 1111, b_i = 0001
  a_i = 1111, b_i = 0010
  a_i = 1111, b_i = 0011
  a_i = 1111, b_i = 0100
  a_i = 1111, b_i = 0101
  a_i = 1111, b_i = 0110
  a_i = 1111, b_i = 0111
  a_i = 1111, b_i = 1000
  a_i = 1111, b_i = 1001
  a_i = 1111, b_i = 1010
  a_i = 1111, b_i = 1011
  a_i = 1111, b_i = 1100
  a_i = 1111, b_i = 1101
  a_i = 1111, b_i = 1110
  a_i = 1111, b_i = 1111
Simulation time is              2570000
[0;32m    ____  ___   __________[0m
[0;32m   / __ \/   | / ___/ ___/[0m
[0;32m  / /_/ / /| | \__ \__  [0m
[0;32m / ____/ ___ |___/ /__/ / [0m
[0;32m/_/   /_/  |_/____/____/  [0m

Simulation Succeeded!
Current System Time is: 06:45:21 PM--02/02/2023
